make,model,inventory_location,model_code,year,transmission,color,drive,doors,steering,seats,engine_type,body_type,engine_size,mileage,fuel,fob_price,total_price
TOYOTA,LAND CRUISER PRADO 2018,Nagoya - Japan,CBA-TRJ150W,2018/11,AT,Black,4WD,5,RHD,7,2TR,SUV,"2,690cc","28,000km",PETROL,28770,31212
TOYOTA,LAND CRUISER PRADO 2018,Osaka - Japan,CBA-TRJ150W,2018/11,AT,Pearl,4WD,5,RHD,7,2TR,SUV,"2,690cc","75,000km",PETROL,28310,30752
LEXUS,RX 2018,Yokohama - Japan,DBA-AGL20W,2018/8,AT,Pearl,2WD,5,RHD,5,8AR,SUV,"1,990cc","78,000km",PETROL,21790,23979
MERCEDES,C CLASS 2018,Osaka - Japan,CBA-205064,2018/1,AT,White,4WD,4,RHD,5,276M30,Sedan,"2,990cc","49,000km",PETROL,21580,23396
AUDI,Q5 2018,Hakata - Japan,DBA-FYDAXS,2018/6,AT,White,4WD,5,RHD,5,DAX,SUV,"1,980cc","40,000km",PETROL,19020,21047
TOYOTA,HARRIER 2018,Hakata - Japan,DBA-ZSU60W,2018/8,AT,Black,2WD,5,RHD,5,3ZR,SUV,"1,980cc","62,000km",PETROL,18630,20651
TOYOTA,HARRIER 2018,Yokohama - Japan,DBA-ZSU60W,2018/12,AT,Black,2WD,5,RHD,5,3ZR,SUV,"1,980cc","121,000km",PETROL,18160,20177
TOYOTA,HARRIER 2018,Nagoya - Japan,DBA-ASU60W,2018/5,AT,Pearl,2WD,5,RHD,5,8AR,SUV,"1,990cc","124,000km",PETROL,18160,20177
TOYOTA,RAV4 2019,Yokohama - Japan,6BA-MXAA54,2019/12,AT,Pearl,4WD,5,RHD,5,M20A,SUV,"1,980cc","65,000km",PETROL,17810,19929
TOYOTA,RAV4 2019,Nagoya - Japan,6BA-MXAA54,2019/7,AT,Red,4WD,5,RHD,5,M20A,SUV,"1,980cc","47,000km",PETROL,17680,19797
TOYOTA,HARRIER 2018,Hakata - Japan,DBA-ZSU60W,2018/7,AT,Black,2WD,5,RHD,5,3ZR,SUV,"1,980cc","81,000km",PETROL,17130,19243
TOYOTA,HARRIER 2018,Nagoya - Japan,DBA-ZSU60W,2018/3,AT,PURPLE(D),2WD,5,RHD,5,3ZR,SUV,"1,980cc","71,000km",PETROL,16790,18897
TOYOTA,RAV4 2019,Nagoya - Japan,6BA-MXAA54,2019/10,AT,Black,4WD,5,RHD,5,M20A,SUV,"1,980cc","70,000km",PETROL,16790,18894
TOYOTA,RAV4 2019,Nagoya - Japan,6BA-MXAA54,2019/6,AT,Pearl,4WD,5,RHD,5,M20A,SUV,"1,980cc","98,000km",PETROL,16790,18894
TOYOTA,HARRIER 2018,Yokohama - Japan,DBA-ZSU60W,2018/3,AT,Black,2WD,5,RHD,5,3ZR,SUV,"1,980cc","82,000km",PETROL,16790,18897
TOYOTA,HARRIER 2018,Yokohama - Japan,DBA-ZSU60W,2018/8,AT,Black,2WD,5,RHD,5,3ZR,SUV,"1,980cc","44,000km",PETROL,16580,18684
MERCEDES,E CLASS 2018,Osaka - Japan,RBA-213042C,2018/2,AT,Black,2WD,4,RHD,5,274,Sedan,"1,990cc","68,000km",PETROL,16440,18420
TOYOTA,HARRIER 2018,Yokohama - Japan,DBA-ZSU60W,2018/11,AT,Black,2WD,5,RHD,5,3ZR,SUV,"1,980cc","97,000km",PETROL,16440,18542
VOLKSWAGEN,TIGUAN 2018,Yokohama - Japan,ABA-5NCZE,2018/3,AT,White,2WD,5,RHD,5,CZE,SUV,"1,390cc","39,000km",PETROL,16440,18431
TOYOTA,HARRIER 2018,Yokohama - Japan,DBA-ZSU60W,2018/1,AT,Black,2WD,5,RHD,5,3ZR,SUV,"1,980cc","80,000km",PETROL,16100,18197
HONDA,CRV 2018,Yokohama - Japan,6AA-RT5,2018/11,AT,Red,,5,RHD,5,LFB-H4,SUV,"1,990cc","44,000km",HYBRID(PETROL),15930,18020
VOLKSWAGEN,TIGUAN 2018,Yokohama - Japan,LDA-5NDFGF,2018/8,AT,Blue(D),4WD,5,RHD,5,DFG,SUV,"1,960cc","67,000km",DIESEL,15070,17041
MERCEDES,C CLASS 2018,Yokohama - Japan,DAA-205077C,2018/11,AT,Gray,2WD,4,RHD,5,264-EM0018,Sedan,"1,490cc","67,000km",HYBRID(PETROL),15070,16811
BMW,X1 2018,Yokohama - Japan,ABA-JG20A,2018/10,AT,Pearl,4WD,5,RHD,5,B48A20A,SUV,"1,990cc","28,000km",PETROL,14390,16237
SUBARU,FORESTER 2018,Yokohama - Japan,5BA-SK9,2018/8,AT,Silver,4WD,5,RHD,5,FB25,SUV,"2,490cc","78,000km",PETROL,13870,15931
SUBARU,FORESTER 2018,Yokohama - Japan,5BA-SK9,2018/8,AT,Blue(D),4WD,5,RHD,5,FB25,SUV,"2,490cc","47,000km",PETROL,13780,15840
SUBARU,FORESTER 2018,Nagoya - Japan,5BA-SK9,2018/12,AT,Silver,4WD,5,RHD,5,FB25,SUV,"2,490cc","56,000km",PETROL,13700,15759
MERCEDES,C CLASS 2018,Yokohama - Japan,DBA-205040C,2018/2,AT,White,2WD,4,RHD,5,274M16,Sedan,"1,590cc","56,000km",PETROL,13290,15110
MERCEDES,C CLASS 2018,Osaka - Japan,LDA-205004,2018/6,AT,White,2WD,4,RHD,5,651,Sedan,"2,140cc","41,000km",DIESEL,13020,14837
MERCEDES,C CLASS 2018,Nagoya - Japan,LDA-205004,2018/7,AT,White,2WD,4,RHD,5,651,Sedan,"2,140cc","65,000km",DIESEL,12810,14624
BMW,X1 2018,Yokohama - Japan,ABA-JG15,2018/8,AT,White,2WD,5,RHD,5,B38A15A,SUV,"1,490cc","34,000km",PETROL,12540,14362
MAZDA,CX5 2018,Hakata - Japan,6BA-KFEP,2018/5,AT,Pearl,2WD,5,RHD,5,PE,SUV,"1,990cc","75,000km",PETROL,12540,14576
MAZDA,CX5 2018,Osaka - Japan,6BA-KFEP,2018/3,AT,Black,2WD,5,RHD,,,SUV,"2,000cc","52,000km",PETROL,12540,14576
HONDA,VEZEL 2018,Nagoya - Japan,DBA-RU1,2018/3,AT,Pearl,2WD,5,RHD,5,L15B,SUV,"1,490cc","36,000km",PETROL,12380,14192
MAZDA,CX5 2018,Yokohama - Japan,6BA-KF5P,2018/3,AT,Pearl,4WD,5,RHD,5,PY,SUV,"2,480cc","50,000km",PETROL,12330,14363
MAZDA,CX5 2018,Yokohama - Japan,6BA-KF5P,2018/9,AT,Black,2WD,5,RHD,5,PY,SUV,"2,480cc","36,000km",PETROL,12330,14363
MAZDA,CX5 2018,Yokohama - Japan,6BA-KF5P,2018/3,AT,Black,2WD,5,RHD,5,PY,SUV,"2,480cc","45,000km",PETROL,12200,14231
TOYOTA,PREMIO 2018,Osaka - Japan,DBA-NZT260,2018/4,AT,Silver,2WD,4,RHD,5,1NZ,Sedan,"1,490cc","23,000km",PETROL,12130,13826
TOYOTA,PREMIO 2018,Nagoya - Japan,DBA-NZT260,2018/4,AT,Blue(D),2WD,4,RHD,5,1NZ,Sedan,"1,490cc","99,000km",PETROL,12110,13805
HONDA,VEZEL 2018,Yokohama - Japan,DBA-RU1,2018/1,AT,Black,2WD,5,RHD,5,L15B,SUV,"1,490cc","78,000km",PETROL,12100,13908
HONDA,VEZEL 2018,Hakata - Japan,DAA-RU3,2018/10,AT,Red,2WD,5,RHD,5,LEB-H1,SUV,"1,490cc","62,000km",HYBRID(PETROL),12020,13827
MERCEDES,C CLASS 2018,Osaka - Japan,DBA-205040C,2018/3,AT,Silver,2WD,4,RHD,5,274M16,Sedan,"1,590cc","43,000km",PETROL,11990,13793
MAZDA,CX8 2018,Nagoya - Japan,3DA-KG2P,2018/4,AT,GRAY(D),2WD,5,RHD,7,SH,SUV,"2,180cc","71,000km",DIESEL,11990,14086
MAZDA,CX8 2017,Osaka - Japan,3DA-KG2P,2018/9,AT,Blue(D),2WD,5,RHD,7,SH,SUV,"2,180cc","57,000km",DIESEL,11990,14086
MAZDA,CX8 2018,Nagoya - Japan,3DA-KG2P,2018/1,AT,GRAY(D),4WD,5,RHD,7,SH,SUV,"2,180cc","83,000km",DIESEL,11990,14086
TOYOTA,PREMIO 2018,Yokohama - Japan,DBA-NZT260,2018/1,AT,Silver,2WD,4,RHD,5,1NZ,Sedan,"1,490cc","50,000km",PETROL,11880,13573
TOYOTA,PREMIO 2017,Hakata - Japan,DBA-NZT260,2018/7,AT,Pearl,2WD,4,RHD,5,1NZ,Sedan,"1,490cc","114,000km",PETROL,11830,13522
HONDA,VEZEL 2018,Hakata - Japan,DAA-RU3,2018/2,AT,Red,2WD,5,RHD,,,SUV,"1,500cc","65,000km",HYBRID(PETROL),11740,13543
MAZDA,CX8 2018,Osaka - Japan,3DA-KG2P,2018/1,AT,Gray,4WD,5,RHD,6,SH,SUV,"2,180cc","108,000km",DIESEL,11690,13781
MAZDA,CX5 2018,Yokohama - Japan,6BA-KF5P,2018/5,AT,Silver,4WD,5,RHD,5,PY,SUV,"2,480cc","41,000km",PETROL,11670,13693
HONDA,VEZEL 2018,Yokohama - Japan,DBA-RU1,2018/4,AT,Blue(D),2WD,5,RHD,5,L15B,SUV,"1,490cc","56,000km",PETROL,11660,13462
MAZDA,CX5 2018,Nagoya - Japan,6BA-KFEP,2018/8,AT,Pearl,2WD,5,RHD,5,PE,SUV,"1,990cc","141,000km",PETROL,11650,13674
MAZDA,CX5 2017,Yokohama - Japan,DBA-KFEP,2018/3,AT,Black,2WD,5,RHD,5,PE,SUV,"1,990cc","147,000km",PETROL,11540,13561
MAZDA,CX8 2018,Yokohama - Japan,3DA-KG2P,2018/9,AT,Black,4WD,5,RHD,6,SH,SUV,"2,180cc","110,000km",DIESEL,11520,13609
MAZDA,CX8 2017,Osaka - Japan,3DA-KG2P,2018/3,AT,Red,2WD,5,RHD,6,SH,SUV,"2,180cc","72,000km",DIESEL,11480,13568
HONDA,VEZEL 2018,Nagoya - Japan,DBA-RU1,2018/6,AT,Pearl,2WD,5,RHD,5,L15B,SUV,"1,490cc","93,000km",PETROL,11470,13270
SUBARU,FORESTER 2017,Osaka - Japan,DBA-SJ5,2018/6,AT,Pearl,4WD,5,RHD,5,FB20,SUV,"1,990cc","75,000km",PETROL,11430,13451
HONDA,VEZEL 2018,Osaka - Japan,DBA-RU2,2018/10,AT,Blue(D),4WD,5,RHD,,,SUV,"1,500cc","41,000km",PETROL,11360,13158
TOYOTA,PREMIO 2017,Osaka - Japan,DBA-NZT260,2018/10,AT,White,2WD,4,RHD,5,1NZ,Sedan,"1,490cc","151,000km",PETROL,11310,12996
HONDA,VEZEL 2018,Yokohama - Japan,DBA-RU1,2018/1,AT,Black,2WD,5,RHD,5,L15B,SUV,"1,490cc","180,000km",PETROL,11310,13108
TOYOTA,PREMIO 2018,Osaka - Japan,DBA-NZT260,2018/1,AT,White,2WD,4,RHD,,,Sedan,"1,500cc","191,000km",PETROL,11310,12996
SUBARU,FORESTER 2018,Nagoya - Japan,DBA-SJ5,2018/6,AT,Green(L),4WD,5,RHD,5,FB20,SUV,"1,990cc","78,000km",PETROL,11180,13197
TOYOTA,COROLLA FIELDER 2018,Osaka - Japan,DBA-NRE161G,2018/5,AT,Red,2WD,5,RHD,5,2NR,Station Wagon,"1,490cc","36,000km",PETROL,11150,12728
HONDA,VEZEL 2018,Osaka - Japan,DAA-RU3,2018/3,AT,Red,2WD,5,RHD,5,LEB-H1,SUV,"1,490cc","132,000km",HYBRID(PETROL),11110,12905
HONDA,VEZEL 2018,Osaka - Japan,DAA-RU3,2018/4,AT,Black,2WD,5,RHD,5,LEB-H1,SUV,"1,490cc","136,000km",HYBRID(PETROL),10990,12783
HONDA,VEZEL 2018,Nagoya - Japan,DAA-RU3,2018/1,AT,Black,2WD,5,RHD,5,LEB-H1,SUV,"1,490cc","148,000km",HYBRID(PETROL),10980,12773
SUBARU,FORESTER 2018,Yokohama - Japan,5AA-SKE,2018/9,AT,Blue(D),4WD,5,RHD,5,FB20-MA1,SUV,"1,990cc","175,000km",HYBRID(PETROL),10960,12975
MAZDA,CX5 2018,Osaka - Japan,3DA-KF2P,2018/7,AT,Red,2WD,5,RHD,5,SH,SUV,"2,180cc","82,000km",DIESEL,10960,12972
MAZDA,CX5 2018,Osaka - Japan,3DA-KF2P,2018/3,AT,Red,2WD,5,RHD,5,SH,SUV,"2,180cc","72,000km",DIESEL,10960,12972
HONDA,CIVIC 2018,Nagoya - Japan,DBA-FC1,2018/4,AT,White,2WD,4,RHD,5,L15B,Sedan,"1,490cc","83,000km",PETROL,10960,12646
HONDA,CIVIC 2018,Hakata - Japan,DBA-FC1,2018/7,AT,Pearl,2WD,4,RHD,5,L15B,Sedan,"1,490cc","83,000km",PETROL,10960,12646
MITSUBISHI,OUTLANDER PHEV 2018,Osaka - Japan,DBA-GK1W,2018/3,AT,Black,4WD,5,RHD,5,4B40,SUV,"1,490cc","85,000km",PETROL,10860,12762
HONDA,VEZEL 2018,Nagoya - Japan,DAA-RU3,2018/6,AT,Red,2WD,5,RHD,5,LEB-H1,SUV,"1,490cc","85,000km",HYBRID(PETROL),10820,12611
HONDA,VEZEL 2018,Osaka - Japan,DAA-RU3,2018/3,AT,Black,2WD,5,RHD,5,LEB-H1,SUV,"1,490cc","151,000km",HYBRID(PETROL),10820,12611
TOYOTA,MARK X 2018,Nagoya - Japan,DBA-ZRT260,2018/2,AT,White,2WD,4,RHD,5,2ZR,Sedan,"1,790cc","110,000km",PETROL,10790,12469
MITSUBISHI,OUTLANDER PHEV 2018,Osaka - Japan,DLA-GG2W,2018/6,AT,Pearl,4WD,5,RHD,,,SUV,"2,000cc","127,000km",PLUG-IN HYBRID(PETROL),10790,12804
TOYOTA,MARK X 2018,Nagoya - Japan,DBA-ZRT261,2018/4,AT,Black,2WD,4,RHD,5,3ZR,Sedan,"1,980cc","55,000km",PETROL,10780,12459
MAZDA,CX5 2018,Osaka - Japan,3DA-KF2P,2018/3,AT,Red,4WD,5,RHD,5,SH,SUV,"2,180cc","115,000km",DIESEL,10690,12698
MITSUBISHI,OUTLANDER PHEV 2018,Osaka - Japan,DBA-GK1W,2018/3,AT,Blue,2WD,5,RHD,5,4B40,SUV,"1,490cc","86,000km",PETROL,10620,12518
HONDA,VEZEL 2018,Yokohama - Japan,DAA-RU3,2018/1,AT,Pearl,2WD,5,RHD,5,LEB-H1,SUV,"1,490cc","150,000km",HYBRID(PETROL),10590,12378
BMW,X3 2018,Yokohama - Japan,ABA-YH20,2018/11,AT,Blue,4WD,5,RHD,5,B48A20A,SUV,"1,990cc","61,000km",PETROL,10500,12284
HONDA,VEZEL 2018,Hakata - Japan,DAA-RU3,2018/2,AT,Pearl,2WD,5,RHD,5,LEB-H1,SUV,"1,490cc","135,000km",HYBRID(PETROL),10280,12064
MAZDA,CX5 2018,Hakata - Japan,3DA-KF2P,2018/3,AT,Blue,2WD,5,RHD,5,SH,SUV,"2,180cc","87,000km",DIESEL,10210,12211
MAZDA,CX3 2018,Hakata - Japan,6BA-DKEFW,2018/11,AT,Red,2WD,5,RHD,5,PE,SUV,"1,990cc","37,000km",PETROL,10110,11784
MAZDA,CX3 2018,Nagoya - Japan,6BA-DKEFW,2018/1,AT,GRAY(D),2WD,5,RHD,5,PE,SUV,"1,990cc","27,000km",PETROL,10110,11784
PEUGEOT,3008 2018,Yokohama - Japan,LDA-P84AH01,2018/9,AT,Pearl,2WD,5,RHD,5,AH01,SUV,"1,990cc","85,000km",DIESEL,9790,11679
MAZDA,CX3 2018,Nagoya - Japan,6BA-DKEFW,2018/2,AT,Pearl,2WD,5,RHD,5,PE,SUV,"1,990cc","89,000km",PETROL,9760,11429
MAZDA,CX3 2018,Nagoya - Japan,6BA-DKEFW,2018/5,AT,Red,2WD,5,RHD,5,PE,SUV,"1,990cc","45,000km",PETROL,9710,11379
TOYOTA,MARK X 2018,Yokohama - Japan,DBA-GRX130,2018/2,AT,Blue(D),2WD,4,RHD,5,4GR,Sedan,"2,490cc","76,000km",PETROL,9660,11434
PEUGEOT,3008 2018,Yokohama - Japan,ABA-P845G01,2018/7,AT,Brown,2WD,5,RHD,5,5G01,SUV,"1,590cc","71,000km",PETROL,9620,11505
MITSUBISHI,RVR 2017,Yokohama - Japan,DBA-GA4W,2018/2,AT,Red,4WD,5,RHD,5,4J10,SUV,"1,790cc","101,000km",PETROL,9570,11344
MAZDA,AXELA SPORT 2018,Osaka - Japan,DBA-BM5FS,2018/2,AT,Silver,2WD,5,RHD,5,P5,Hatchback,"1,490cc","113,000km",PETROL,9570,11238
MAZDA,AXELA SPORT 2018,Yokohama - Japan,DBA-BM5FS,2018/6,AT,Pearl,2WD,5,RHD,5,P5,Hatchback,"1,490cc","42,000km",PETROL,9550,11218
MAZDA,AXELA SPORT 2018,Yokohama - Japan,DBA-BM5FS,2018/3,AT,Black,2WD,5,RHD,5,P5,Hatchback,"1,490cc","74,000km",PETROL,9510,11177
TOYOTA,COROLLA FIELDER 2018,Nagoya - Japan,DAA-NKE165G,2018/3,AT,Black,2WD,5,RHD,5,1NZ-1LM,Station Wagon,"1,490cc","101,000km",HYBRID(PETROL),9460,11122
TOYOTA,COROLLA FIELDER 2018,Nagoya - Japan,DAA-NKE165G,2018/3,AT,Black,2WD,5,RHD,5,1NZ-1LM,Station Wagon,"1,490cc","109,000km",HYBRID(PETROL),9460,11122
MAZDA,CX3 2018,Nagoya - Japan,6BA-DKEFW,2018/3,AT,Black,2WD,5,RHD,5,PE,SUV,"1,990cc","60,000km",PETROL,9390,11055
MAZDA,AXELA SPORT 2017,Nagoya - Japan,DBA-BM5FS,2018/3,AT,Red,2WD,5,RHD,5,P5,Hatchback,"1,490cc","50,000km",PETROL,9390,11056
MAZDA,AXELA SPORT 2018,Osaka - Japan,DBA-BM5FS,2018/1,AT,Red,2WD,5,RHD,5,P5,Hatchback,"1,490cc","75,000km",PETROL,9390,11056
MAZDA,AXELA SPORT 2018,Yokohama - Japan,DBA-BM5FS,2018/1,AT,Pearl,2WD,5,RHD,5,P5,Hatchback,"1,490cc","42,000km",PETROL,9390,11056
TOYOTA,COROLLA AXIO 2018,Osaka - Japan,DBA-NRE161,2018/8,AT,Brown,2WD,4,RHD,5,2NR,Sedan,"1,490cc","17,000km",PETROL,9330,10886
MAZDA,CX3 2018,Nagoya - Japan,6BA-DKEFW,2018/2,AT,Pearl,2WD,5,RHD,5,PE,SUV,"1,990cc","86,000km",PETROL,9280,10944
TOYOTA,SIENTA 2018,Yokohama - Japan,DBA-NSP170G,2018/7,AT,PURPLE(D),2WD,5,RHD,7,2NR,Mini Van,"1,490cc","22,000km",PETROL,9250,11018
MAZDA,CX3 2018,Osaka - Japan,6BA-DKEFW,2018/3,AT,Red,2WD,5,RHD,5,PE,SUV,"1,990cc","33,000km",PETROL,9250,10913
TOYOTA,COROLLA AXIO 2017,Yokohama - Japan,DBA-NRE161,2018/2,AT,Silver,2WD,4,RHD,5,2NR,Sedan,"1,490cc","51,000km",PETROL,9250,10805
MAZDA,CX3 2018,Osaka - Japan,3DA-DK8FW,2018/6,AT,Red,2WD,5,RHD,5,S8,SUV,"1,750cc","58,000km",DIESEL,9250,10913
MAZDA,CX3 2018,Osaka - Japan,3DA-DK8FW,2018/7,AT,Red,2WD,5,RHD,5,S8,SUV,"1,750cc","46,000km",DIESEL,9250,10913
MAZDA,AXELA SPORT 2018,Nagoya - Japan,DBA-BM5FS,2018/2,AT,Black,2WD,5,RHD,5,P5,Hatchback,"1,490cc","86,000km",PETROL,9240,10904
NISSAN,SERENA 2018,Osaka - Japan,DAA-GC27,2018/3,AT,Brown,2WD,5,RHD,8,MR20-SM24,Mini Van,"1,990cc","73,000km",HYBRID(PETROL),9230,11223
TOYOTA,SIENTA 2018,Nagoya - Japan,DBA-NSP170G,2018/6,AT,Brown,2WD,5,RHD,7,2NR,Mini Van,"1,490cc","40,000km",PETROL,9220,10987
MAZDA,AXELA SPORT 2018,Osaka - Japan,DBA-BM5FS,2018/12,AT,Blue,2WD,5,RHD,5,P5,Hatchback,"1,490cc","99,000km",PETROL,9150,10813
TOYOTA,COROLLA AXIO 2018,Osaka - Japan,DBA-NRE161,2018/8,AT,Black,2WD,4,RHD,5,2NR,Sedan,"1,490cc","54,000km",PETROL,9120,10674
MAZDA,CX3 2018,Nagoya - Japan,LDA-DK5FW,2018/4,AT,Red,2WD,5,RHD,5,S5,SUV,"1,490cc","83,000km",DIESEL,9050,10711
MAZDA,CX3 2018,Nagoya - Japan,6BA-DKEFW,2018/3,AT,Pearl,2WD,5,RHD,5,PE,SUV,"1,990cc","67,000km",PETROL,9030,10690
TOYOTA,COROLLA AXIO 2017,Osaka - Japan,DBA-NRE161,2018/3,AT,Pearl,2WD,4,RHD,5,2NR,Sedan,"1,490cc","21,000km",PETROL,9000,10553
TOYOTA,COROLLA AXIO 2018,Yokohama - Japan,DBA-NRE161,2018/4,AT,PURPLE(D),2WD,4,RHD,5,2NR,Sedan,"1,490cc","25,000km",PETROL,8910,10462
TOYOTA,COROLLA AXIO 2018,Yokohama - Japan,DBA-NRE161,2018/1,AT,Silver,2WD,4,RHD,5,2NR,Sedan,"1,490cc","59,000km",PETROL,8860,10411
MAZDA,CX3 2018,Osaka - Japan,6BA-DKEAW,2018/9,AT,Pearl,4WD,5,RHD,5,PE,SUV,"1,990cc","31,000km",PETROL,8850,10508
TOYOTA,COROLLA AXIO 2018,Nagoya - Japan,DBA-NRE161,2018/2,AT,White,2WD,4,RHD,5,2NR,Sedan,"1,490cc","15,000km",PETROL,8790,10340
TOYOTA,SIENTA 2018,Nagoya - Japan,6AA-NHP170G,2018/11,AT,Blue,2WD,5,RHD,7,1NZ-2LM,Mini Van,"1,490cc","61,000km",HYBRID(PETROL),8770,10430
TOYOTA,COROLLA FIELDER 2018,Osaka - Japan,DBA-MB4154T,2018/8,AT,Silver,2WD,5,RHD,,,Station Wagon,"1,500cc","47,000km",PETROL,8770,10424
TOYOTA,SIENTA 2018,Nagoya - Japan,DBA-NSP170G,2018/9,AT,Silver,2WD,5,RHD,7,2NR,Mini Van,"1,490cc","51,000km",PETROL,8760,10521
MAZDA,CX3 2018,Nagoya - Japan,3DA-DK8FW,2018/11,AT,Pearl,2WD,5,RHD,5,S8,SUV,"1,750cc","119,000km",DIESEL,8740,10397
MAZDA,CX3 2018,Nagoya - Japan,3DA-DK8FW,2018/5,AT,Red,2WD,5,RHD,5,S8,SUV,"1,750cc","93,000km",DIESEL,8740,10397
TOYOTA,COROLLA AXIO 2018,Yokohama - Japan,DBA-NRE161,2018/1,AT,Silver,2WD,4,RHD,5,2NR,Sedan,"1,490cc","19,000km",PETROL,8730,10280
TOYOTA,SIENTA 2018,Osaka - Japan,DBA-NSP170G,2018/3,AT,PURPLE(D),2WD,5,RHD,7,2NR,Mini Van,"1,490cc","31,000km",PETROL,8630,10390
TOYOTA,COROLLA AXIO 2018,Osaka - Japan,DBA-NRE161,2018/1,AT,Pearl,2WD,4,RHD,5,2NR,Sedan,"1,490cc","79,000km",PETROL,8600,10148
TOYOTA,ALLION 2018,Osaka - Japan,DBA-ZRT260,2018/11,AT,Silver,2WD,4,RHD,5,2ZR,Sedan,"1,790cc","169,000km",PETROL,8570,10222
MAZDA,CX3 2018,Osaka - Japan,LDA-DK5FW,2018/3,AT,Pearl,2WD,5,RHD,5,S5,SUV,"1,490cc","158,000km",DIESEL,8570,10225
TOYOTA,COROLLA FIELDER 2018,Hakata - Japan,DAA-NKE165G,2018/11,AT,Pearl,2WD,5,RHD,5,1NZ-1LM,Station Wagon,"1,490cc","53,000km",HYBRID(PETROL),8570,10221
TOYOTA,SIENTA 2018,Yokohama - Japan,DAA-NHP170G,2018/3,AT,Black,2WD,5,RHD,7,1NZ-2LM,Mini Van,"1,490cc","71,000km",HYBRID(PETROL),8530,10187
TOYOTA,SIENTA 2018,Osaka - Japan,6AA-NHP170G,2018/11,AT,Black,2WD,5,RHD,7,1NZ-2LM,Mini Van,"1,490cc","99,000km",HYBRID(PETROL),8520,10177
TOYOTA,ALLION 2018,Osaka - Japan,DBA-ZRT260,2018/10,AT,Silver,2WD,4,RHD,5,2ZR,Sedan,"1,790cc","149,000km",PETROL,8510,10161
SUBARU,LEGACY OUTBACK 2018,Nagoya - Japan,DBA-VM4,2018/1,AT,Pearl,4WD,5,RHD,5,FB16,Station Wagon,"1,590cc","114,000km",PETROL,8500,10261
TOYOTA,SIENTA 2018,Osaka - Japan,DBA-NSP170G,2018/2,AT,Pearl,2WD,5,RHD,7,2NR,Mini Van,"1,490cc","66,000km",PETROL,8480,10238
TOYOTA,SIENTA 2018,Hakata - Japan,DBA-NSP170G,2018/7,AT,PURPLE(D),2WD,5,RHD,7,2NR,Mini Van,"1,490cc","55,000km",PETROL,8460,10218
TOYOTA,SIENTA 2018,Yokohama - Japan,DBA-NSP170G,2018/5,AT,Black,2WD,5,RHD,7,2NR,Mini Van,"1,490cc","25,000km",PETROL,8460,10218
TOYOTA,SIENTA 2018,Yokohama - Japan,DBA-NSP170G,2018/2,AT,Pearl,2WD,5,RHD,7,2NR,Mini Van,"1,490cc","69,000km",PETROL,8450,10207
TOYOTA,COROLLA FIELDER 2018,Osaka - Japan,DBA-NRE161G,2018/1,AT,White,2WD,5,RHD,5,2NR,Station Wagon,"1,490cc","200,000km",PETROL,8410,9957
TOYOTA,SIENTA 2018,Osaka - Japan,DBA-NSP170G,2018/3,AT,Pearl,2WD,5,RHD,7,2NR,Mini Van,"1,490cc","42,000km",PETROL,8340,10096
BMW,1 SERIES 2018,Yokohama - Japan,DBA-1R15,2018/6,AT,Black,2WD,5,RHD,5,B38B15A,Hatchback,"1,490cc","53,000km",PETROL,8280,9826
BMW,1 SERIES 2018,Osaka - Japan,DBA-1R15,2018/3,AT,White,2WD,5,RHD,5,B38B15A,Hatchback,"1,490cc","33,000km",PETROL,8280,9826
HONDA,FIT 2018,Yokohama - Japan,DBA-246242,2018/2,AT,Black,2WD,5,RHD,5,270,Hatchback,"1,590cc","79,000km",PETROL,8220,9975
NISSAN,XTRAIL 2018,Yokohama - Japan,DBA-NT32,2018/5,AT,Red,4WD,5,RHD,7,MR20,SUV,"1,990cc","197,000km",PETROL,8070,10042
NISSAN,XTRAIL 2018,Yokohama - Japan,DBA-NT32,2018/1,AT,Pearl,4WD,5,RHD,5,MR20,SUV,"1,990cc","97,000km",PETROL,8010,9981
NISSAN,XTRAIL 2018,Yokohama - Japan,DBA-T32,2018/5,AT,Pearl,2WD,5,RHD,5,MR20,SUV,"1,990cc","81,000km",PETROL,7860,9829
SUBARU,XV 2018,Yokohama - Japan,DBA-GT3,2018/4,AT,Orange,4WD,5,RHD,5,FB16,SUV,"1,590cc","97,000km",PETROL,7610,9360
NISSAN,XTRAIL 2018,Yokohama - Japan,DAA-HNT32,2018/1,AT,Blue,4WD,5,RHD,5,MR20-RM31,SUV,"1,990cc","160,000km",HYBRID(PETROL),7600,9565
TOYOTA,SIENTA 2018,Yokohama - Japan,DAA-NHP170G,2018/2,AT,Pearl,2WD,5,RHD,7,1NZ-2LM,Mini Van,"1,490cc","191,000km",HYBRID(PETROL),7540,9185
TOYOTA,CROWN HYBRID 2019,Nagoya - Japan,6AA-ZWE211,2019/12,AT,Pearl,2WD,4,RHD,5,2ZR-1NM,Sedan,"1,790cc","244,000km",HYBRID(PETROL),7470,9108
NISSAN,JUKE 2017,Osaka - Japan,DBA-YF15,2018/6,AT,Black,2WD,5,RHD,5,HR15,SUV,"1,490cc","41,000km",PETROL,7470,9109
TOYOTA,COROLLA AXIO 2018,Yokohama - Japan,DBA-NZE164,2018/11,AT,White,4WD,4,RHD,5,1NZ,Sedan,"1,490cc","70,000km",PETROL,7460,8995
